Entity,Code,Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Afghanistan,AFG,1,4.5435214,-3.0921342,0.9206118,0.24186814,-1.31705,1.8286359,2.2859297,0.80003524,2.352311,2.0118496,0.80924416,-0.4466324,-1.7123923,0.73258597,2.6423626,0.52638316,-5.595724,-0.8686116,-1.0290351,-1.7561595,2.259391,2.2624545,1.3290614,-0.88728213,0.6626827,0.8500663,-0.7163557,0.3431558,-2.7958586,-0.43876493,0.34805536,-3.0334961,-0.16274416,-1.2840974,0.235739,-3.0654252,0.8235061,1.5503285,-0.9368522,-0.6864022,-2.0300457,-0.9659047,-0.4486295,0.028736472,-1.4535418,0.42374754,-1.7221324,-2.988588,1.2070822,-2.0972822,-1.8022501,-4.0601063,-1.6803014,-1.4786851,-0.3770796,-2.4798863,-1.4045947,-1.5512083,1.7563959,0.8349867,-6.809986,1.0487983,-1.5261345,-0.30040407,0.036897898,-1.0903232,1.8199116,-2.9956958,-2.1084154,-0.948158,-1.0331669,-1.672471,-1.5691228,-1.8828127,-1.4121528
Afghanistan,AFG,2,0.1638943,3.3264227,1.3052105,4.8273587,2.019373,-0.79194146,2.7621717,0.03943336,1.8491012,2.5761275,-3.534254,0.8698952,-3.8556895,-0.60231555,1.1868201,1.6612648,-3.0509543,1.240218,4.776168,-2.3899224,2.0808487,1.340041,0.67597663,0.0211277,-2.435787,1.6706411,-1.377178,-2.2605624,0.48078585,-0.28866655,-2.2751255,1.2330197,-1.399277,-2.2213395,-1.0851147,-3.9742212,0.08684558,1.612367,-1.2591913,1.696664,-5.42939,-0.68224156,-2.8675466,0.32603526,-0.893347,0.09418124,-0.70655084,-1.2620077,-1.1567229,-2.2254424,-4.3619614,1.357963,-7.830344,0.020734906,0.36266756,-2.3301303,-2.9498353,-0.20315146,2.6618738,-1.5867891,-0.7192932,3.4873848,2.0245204,-3.1151066,2.980669,-2.406145,-0.59567094,-3.608585,-0.4053021,1.1384413,-1.1648362,1.1227769,-0.062416613,-3.5034275,-4.856657
Afghanistan,AFG,3,,3.5448666,3.923089,3.2173767,0.35614634,-0.8025441,4.2338343,0.46721983,2.0126696,-0.7718806,-0.8642669,1.2383728,-1.5767331,-0.3121934,3.1246634,1.7864456,3.2716599,-0.9692688,1.2788115,0.6042862,3.4715843,-0.47203827,1.7123146,0.53944016,-1.3479142,-1.2017736,-1.2832508,-1.8660111,-1.0565715,-2.7642658,0.20839024,-3.170706,-3.8432248,-2.0031838,-2.1409783,-1.4550405,-0.92967415,1.6390314,-3.7436237,-0.20416737,1.4653082,-3.6237874,-3.118774,0.4372368,-1.183301,-3.0089135,-2.0688305,2.77876,-3.3400164,-2.3489432,0.28168058,-0.89849997,-1.9784594,0.6575303,-2.0026784,2.4178581,-0.61029625,-2.0369992,-1.4258494,-2.362708,0.08567619,-0.1972456,0.36873102,-0.64940643,-3.7485316,-0.6176834,1.1558638,-2.126567,-1.4702468,0.50551367,-2.20288,-1.9701748,-1.7644401,-3.5062125,-3.0694566
Afghanistan,AFG,4,,1.2093296,4.1597967,2.1004534,-0.38097,0.77098656,1.2533731,1.1206369,0.05668831,0.8462248,-0.37426472,-0.8876858,0.097023964,0.5763893,2.1428595,-2.2485695,0.9031811,2.375267,0.57333374,-1.425703,1.2180643,0.5090666,0.9406719,2.424924,2.8480263,-0.5053377,0.83115387,-1.9061756,-0.9791765,-1.4447718,-2.8239727,-1.1187687,-3.0784445,-2.3140287,-1.3466196,-2.9800348,0.6324043,-0.45570946,-1.464323,0.4451561,0.32558632,-2.7512226,-0.69863415,0.5687542,1.7855539,1.2505846,0.97059727,0.7024412,-1.9395933,-2.1573343,0.54722977,0.53397846,-1.832222,0.79952526,0.6924839,-1.1670084,-1.483201,-3.0082302,-2.1849298,-2.884284,-1.3121328,-0.0015277863,-0.5183859,-3.3740253,-3.8710012,0.68499374,1.6450548,-4.8039865,-1.0854387,-2.6490602,-0.9125843,-1.9806328,0.051410675,-3.3849459,-4.735033
Afghanistan,AFG,5,,0.322958,1.20751,1.1306744,0.12882042,-0.29392815,-0.6544266,2.4563847,2.0443516,0.6161976,-0.69989014,-0.07610512,-0.52695465,2.4635887,0.70845985,-0.112285614,1.7069588,0.44472504,2.9454536,-2.7469234,0.9137287,-2.5885925,0.79859924,3.25601,3.6140518,-0.61624336,-0.6558304,-2.5355434,-2.2229881,-1.3099976,-0.5275917,-0.51119614,-3.908453,-2.1104012,1.0355167,-3.5385408,0.8288212,-0.818058,-0.51288414,-0.6196747,0.19377518,-0.20790482,-1.2298088,0.10439491,0.42679024,-3.72725,0.4021759,-0.4569683,-0.26283646,-1.2411957,-0.90275955,-0.25764275,-2.6474152,1.201292,0.95022774,-1.9356327,-3.3158493,-2.969843,-1.7069073,-2.1701775,-1.4684887,-1.4213066,-1.2586422,-0.2000122,-2.5713177,-1.3665028,-2.4031563,-3.2492752,1.3702316,-3.1554832,-0.32314682,-0.8901081,-1.1403885,-1.6594543,-1.4261246
Afghanistan,AFG,6,,1.8280296,0.5179939,1.8696232,0.8908653,-0.7474041,1.1557617,1.9339123,0.9701557,0.5554199,0.42965126,1.2318077,-1.0407047,1.6053658,-0.29120064,-2.6711845,2.2785015,0.57756424,0.12245369,-0.41148567,-0.22946548,-0.62125397,0.33138084,1.1531124,-0.43857193,0.042720795,-1.8854637,-0.49621964,-0.47057152,-0.7277851,0.10393524,-0.75915337,-1.2619152,-1.3302269,-0.13801575,-1.0880699,0.6909714,-1.8211632,-0.47789955,-0.14902496,0.02302742,-0.52225876,-1.0175915,-1.3994484,0.063863754,-0.8040714,0.35203743,0.9255161,-1.122242,-1.1667709,-1.2848053,1.1373348,-1.5062771,1.0655499,-0.36570358,-1.5425701,-1.0220871,-2.0091953,-0.11122131,-1.8673382,-1.5336933,-0.0020141602,-2.3915138,-1.0824814,-0.4151001,-0.7106476,-0.8318424,-2.7890797,-1.5796108,-1.8281803,-1.5623722,-0.6410427,-0.37348557,-2.652254,-0.8395252
Afghanistan,AFG,7,,0.45487213,1.0655403,1.4266968,0.61305237,1.957943,1.647932,1.068634,0.7112999,0.777441,0.22533798,0.55060005,0.19909286,0.08680534,-0.20209122,-0.35565376,0.9658966,-0.38812828,0.6111641,-0.08534241,-1.3421822,0.84856033,-1.0890446,0.06494522,-1.1982346,-0.8132973,-0.10330963,0.51756096,-1.2578773,0.35598373,-0.35711098,-1.4624138,-1.3419323,-1.2056198,-0.65221786,-1.4713058,0.8052902,-1.8902988,-1.1690407,0.30531502,-0.100666046,0.057130814,-1.3176842,-0.6270237,-0.1935215,0.08607292,-0.5516186,0.46526337,0.44588852,-0.52837753,-1.0699081,-0.26704025,-2.6823807,-0.9311161,-1.3340969,-1.17066,-1.4560719,-0.8631172,-1.7217617,-1.4711437,-1.5920143,-1.1736126,-1.0638275,-0.011581421,-1.0917702,-1.4161053,-0.6183758,-2.5922585,-0.5384865,-0.46191597,-1.7973995,-0.7002983,-0.92736626,-1.7957878,-0.40786362
Afghanistan,AFG,8,,0.06529808,-1.009964,-0.21369553,1.1535759,0.71546173,0.8752346,0.18390846,-0.51537895,-0.012514114,0.043815613,0.23332596,0.49333382,1.542572,-0.28896523,0.8926811,0.12957573,-0.3103161,0.5631161,-0.45658684,-0.5540962,-0.085300446,0.6390686,-0.2920227,-0.36426735,-0.10179901,0.015165329,-0.27241898,-0.9717674,0.4207859,0.802372,-1.824276,-1.8560238,-0.798296,0.3771534,-1.5746117,-0.93953705,0.18124771,-1.7577705,-1.4273071,1.4029827,0.54875565,-0.98101616,-1.1151848,-0.65210724,-1.6067181,-0.7540722,-0.28715324,-0.18234634,-0.54388046,-1.9380322,-0.34109306,-3.3651104,-0.5545807,1.2766399,-1.67346,-1.3778057,-1.1786556,-1.4429398,-2.4729004,-0.8225403,-1.1599216,-1.7475433,-0.66077614,-0.2532196,0.8139324,-1.7132626,-2.2665253,-1.5513153,0.14635468,-1.6823082,-1.2893867,-1.4153786,-1.4184036,-1.1603966
Afghanistan,AFG,9,,0.41241074,0.9993572,2.0758095,-0.59355736,2.1434498,0.20199203,0.65192795,2.1780872,-1.0326424,1.6220627,1.572855,-0.66384125,0.7251816,-0.9438133,0.4576149,0.29647636,-0.35011482,-0.2214508,1.2733498,-0.21821404,-0.38316727,-0.6946125,-0.45197296,0.31923103,0.25167274,0.2359047,-0.09633064,1.1131783,-0.82214165,-3.3908005,-0.11944008,-2.0896778,-0.9712143,0.5828037,-1.0405312,-0.28315353,0.16987228,-1.3047066,-0.7860565,-1.5257816,0.405962,-2.2948265,-0.98251534,-1.0166931,-0.8424797,-0.11727524,-0.9731083,0.031337738,-0.58328056,-1.4524536,-1.1681767,-1.7926521,-2.0860996,-0.71790695,-1.9179344,-1.141016,-0.3942337,-1.65695,-2.180439,-1.9115295,-1.0321465,-3.243349,0.6213455,-1.0836239,1.6695004,-0.33677292,-2.7939587,-0.44792366,-0.1972866,-1.2933273,-1.1535187,-1.7725868,-0.0771637,-2.2634087
Afghanistan,AFG,10,,1.6480436,0.5234184,-0.74782085,-1.5192947,1.1702614,-0.91310406,1.7642984,0.38314056,1.4069204,0.57185173,1.2199688,-0.46787262,0.49246025,1.9266157,-1.1909933,1.338871,-2.228693,3.1685743,0.6576462,-1.9098053,0.8197403,1.6786985,1.0142756,0.2205925,0.5823612,0.10073471,0.19839382,-1.4076023,-0.8150778,-2.1258821,-2.6779375,-1.4024515,-2.0566912,-0.5593586,-0.029137611,-1.0656958,-2.428917,0.43226242,-1.2615747,-2.3955078,-1.409009,-0.47027588,-2.1794205,0.20892811,1.6194906,-0.03972435,1.2080374,-0.016597748,-1.3206015,-3.3450794,-0.72637177,-1.1659994,-0.8826084,0.1290245,0.6849594,-1.2405338,-1.9936447,-1.7245102,1.4890261,-3.423317,0.9282217,-2.1117296,-2.1787949,-0.7759533,1.3635864,-0.9649582,-1.9950581,-1.4726925,-1.6640921,-2.2840042,-2.2207823,-1.3815002,2.136672,-0.33851433
